,ParkName,ParkType,Region,State,Year,Month,RecreationVisits,RecreationHours,TentCampers,RVCampers,Backcountry,RecreationVisitsTotal,RecreationHoursTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal
20350,Mesa Verde NP,National Park,Intermountain ,CO,2012,12,7561,34023,0,0,0,488860,3348743,22705,19156,0
20362,Mesa Verde NP,National Park,Intermountain ,CO,2013,12,8174,36781,0,0,0,460237,3044878,24066,11400,0
20374,Mesa Verde NP,National Park,Intermountain ,CO,2014,12,5399,24295,0,0,0,501563,3535150,40400,5974,0
20386,Mesa Verde NP,National Park,Intermountain ,CO,2015,12,8788,39544,0,0,0,547325,3874598,49800,6359,0
20398,Mesa Verde NP,National Park,Intermountain ,CO,2016,12,7408,33335,0,0,0,583527,4139389,44925,12073,0
20410,Mesa Verde NP,National Park,Intermountain ,CO,2017,12,11898,53543,0,0,0,613788,4000241,29879,16808,0
20422,Mesa Verde NP,National Park,Intermountain ,CO,2018,12,8411,37850,0,0,0,563420,3975281,33434,24462,0
20434,Mesa Verde NP,National Park,Intermountain ,CO,2019,12,7743,34844,0,0,0,556203,3969497,33621,26110,0
20818,Mount Rainier NP,National Park,Pacific West ,WA,2010,12,20509,102547,0,0,393,1191754,14416024,59340,22860,40731
20830,Mount Rainier NP,National Park,Pacific West ,WA,2011,12,20166,100829,0,0,155,1038229,12929916,55937,21087,39907
20842,Mount Rainier NP,National Park,Pacific West ,WA,2012,12,16912,84558,0,0,133,1049178,12973366,62196,24109,45565
20854,Mount Rainier NP,National Park,Pacific West ,WA,2013,12,17607,88033,0,0,122,1148552,14351291,59860,24202,45975
20866,Mount Rainier NP,National Park,Pacific West ,WA,2014,12,15117,75586,0,0,430,1264259,15086202,58755,30515,48679
20878,Mount Rainier NP,National Park,Pacific West ,WA,2015,12,21750,108749,0,0,523,1237231,14147970,68484,25085,44296
20890,Mount Rainier NP,National Park,Pacific West ,WA,2016,12,25867,129334,0,0,75,1356913,15943893,64265,28981,57636
20902,Mount Rainier NP,National Park,Pacific West ,WA,2017,12,26429,132145,0,0,50,1415867,16870540,74721,29400,55333
20914,Mount Rainier NP,National Park,Pacific West ,WA,2018,12,28244,141218,0,0,0,1518491,17718273,83645,30623,64294
20926,Mount Rainier NP,National Park,Pacific West ,WA,2019,12,39161,195805,0,0,67,1501621,18660689,83353,30408,47703
21010,National Park of American Samoa,National Park,Pacific West ,AS,2010,12,491,982,0,0,0,3006,6014,0,0,0
21022,National Park of American Samoa,National Park,Pacific West ,AS,2011,12,388,776,0,0,0,8716,17431,0,0,0
21034,National Park of American Samoa,National Park,Pacific West ,AS,2012,12,1908,3816,0,0,0,10440,20880,0,0,0
21046,National Park of American Samoa,National Park,Pacific West ,AS,2013,12,908,1815,0,0,0,17919,35838,0,0,0
21058,National Park of American Samoa,National Park,Pacific West ,AS,2014,12,1004,2008,0,0,0,13953,27903,0,0,0
21070,National Park of American Samoa,National Park,Pacific West ,AS,2015,12,453,906,0,0,0,13892,27786,0,0,0
21082,National Park of American Samoa,National Park,Pacific West ,AS,2016,12,4694,9388,0,0,0,28892,57783,0,0,0
21094,National Park of American Samoa,National Park,Pacific West ,AS,2017,12,4794,9587,0,0,0,69468,138934,0,0,0
21106,National Park of American Samoa,National Park,Pacific West ,AS,2018,12,3052,6104,0,0,0,28626,57252,0,0,0
21118,National Park of American Samoa,National Park,Pacific West ,AS,2019,12,1604,3208,0,0,0,60006,120010,0,0,0
21502,North Cascades NP,National Park,Pacific West ,WA,2010,12,4,88,0,0,4,24659,440131,0,0,17801
21514,North Cascades NP,National Park,Pacific West ,WA,2011,12,46,228,0,0,0,19208,397139,0,0,17002
21526,North Cascades NP,National Park,Pacific West ,WA,2012,12,32,194,0,0,2,26935,476330,0,0,19360
21538,North Cascades NP,National Park,Pacific West ,WA,2013,12,23,130,0,0,1,21623,467679,0,0,20295
21550,North Cascades NP,National Park,Pacific West ,WA,2014,12,75,442,0,0,4,23865,499397,0,0,21547
21562,North Cascades NP,National Park,Pacific West ,WA,2015,12,57,548,0,0,15,20677,524870,0,0,23721
21574,North Cascades NP,National Park,Pacific West ,WA,2016,12,18,356,0,0,15,28646,590966,0,0,25516
21586,North Cascades NP,National Park,Pacific West ,WA,2017,12,47,290,0,0,6,30326,607202,0,0,26081
21598,North Cascades NP,National Park,Pacific West ,WA,2018,12,0,0,0,0,0,30085,616576,0,0,26703
21610,North Cascades NP,National Park,Pacific West ,WA,2019,12,81,440,0,0,2,38208,672611,0,0,27581
21994,Olympic NP,National Park,Pacific West ,WA,2010,12,65092,235917,222,547,253,2844563,13769267,90477,63701,68546
22006,Olympic NP,National Park,Pacific West ,WA,2011,12,78846,255091,268,425,226,2966502,14355540,101249,60341,57162
22018,Olympic NP,National Park,Pacific West ,WA,2012,12,85900,292572,272,703,198,2824908,13431712,90876,55271,55776
22030,Olympic NP,National Park,Pacific West ,WA,2013,12,104386,352756,279,450,181,3085340,13737596,110015,52656,54369
22042,Olympic NP,National Park,Pacific West ,WA,2014,12,73585,286263,477,645,391,3243872,15130358,140112,66937,69731
22054,Olympic NP,National Park,Pacific West ,WA,2015,12,68935,262020,244,419,201,3263761,15614566,122579,65516,88587
22066,Olympic NP,National Park,Pacific West ,WA,2016,12,72439,284038,338,459,237,3390221,16657226,134871,64582,100347
22078,Olympic NP,National Park,Pacific West ,WA,2017,12,71335,244365,461,413,365,3401996,17876205,178359,76186,122678
22090,Olympic NP,National Park,Pacific West ,WA,2018,12,63753,231710,279,483,286,3104455,17574425,162192,77436,128134
22102,Olympic NP,National Park,Pacific West ,WA,2019,12,72359,272476,514,509,163,3245806,16899047,134569,73701,96864
22486,Petrified Forest NP,National Park,Intermountain ,AZ,2010,12,25760,61713,0,0,10,664725,1660293,0,0,300
22498,Petrified Forest NP,National Park,Intermountain ,AZ,2011,12,19887,48311,0,0,3,614054,1540281,0,0,252
22510,Petrified Forest NP,National Park,Intermountain ,AZ,2012,12,24808,60693,0,0,7,664857,1666541,0,0,257
22522,Petrified Forest NP,National Park,Intermountain ,AZ,2013,12,13948,30622,0,0,4,644648,1618506,0,0,264
22534,Petrified Forest NP,National Park,Intermountain ,AZ,2014,12,35281,87112,0,0,5,836799,2099086,0,0,252
22546,Petrified Forest NP,National Park,Intermountain ,AZ,2015,12,32801,82864,0,0,10,793225,2021989,0,0,437
22558,Petrified Forest NP,National Park,Intermountain ,AZ,2016,12,24567,61584,0,0,10,643274,1570133,0,0,486
22570,Petrified Forest NP,National Park,Intermountain ,AZ,2017,12,29494,75409,0,0,78,627757,1732841,0,0,1401
22582,Petrified Forest NP,National Park,Intermountain ,AZ,2018,12,24657,57125,0,0,43,644922,1725278,0,0,1166
22594,Petrified Forest NP,National Park,Intermountain ,AZ,2019,12,32440,85927,0,0,51,643588,1701149,0,0,1451
22978,Pinnacles NP,National Park,Pacific West ,CA,2010,12,9476,35867,0,0,0,246575,1115009,0,0,0
22990,Pinnacles NP,National Park,Pacific West ,CA,2011,12,26752,94690,0,0,0,393219,1405009,0,0,0
23002,Pinnacles NP,National Park,Pacific West ,CA,2012,12,26752,94690,0,0,0,224476,814293,0,0,0
23014,Pinnacles NP,National Park,Pacific West ,CA,2013,12,12626,45080,0,0,0,237677,867601,0,0,0
23026,Pinnacles NP,National Park,Pacific West ,CA,2014,12,13108,47516,0,0,0,196635,708574,0,0,0
23038,Pinnacles NP,National Park,Pacific West ,CA,2015,12,13616,48703,0,0,0,206533,739017,0,0,0
23050,Pinnacles NP,National Park,Pacific West ,CA,2016,12,16259,58229,0,0,0,215555,771393,0,0,0
23062,Pinnacles NP,National Park,Pacific West ,CA,2017,12,17825,63627,0,0,0,233334,836253,0,0,0
23074,Pinnacles NP,National Park,Pacific West ,CA,2018,12,16429,59293,0,0,0,222152,795090,0,0,0
23086,Pinnacles NP,National Park,Pacific West ,CA,2019,12,12115,43594,0,0,0,177224,634536,0,0,0
23470,Redwood NP,National Park,Pacific West ,CA,2010,12,19073,67017,20,0,3,418820,1617229,1758,0,903
23482,Redwood NP,National Park,Pacific West ,CA,2011,12,13921,49197,0,0,22,380167,1436388,1294,0,1330
23494,Redwood NP,National Park,Pacific West ,CA,2012,12,20051,71172,28,0,17,352517,1296303,1362,0,1255
23506,Redwood NP,National Park,Pacific West ,CA,2013,12,17117,62208,92,0,51,393364,1577917,3567,0,3096
23518,Redwood NP,National Park,Pacific West ,CA,2014,12,19368,68124,188,0,9,429166,1696057,3676,0,3829
23530,Redwood NP,National Park,Pacific West ,CA,2015,12,26155,92749,59,0,54,527143,2048943,4554,0,4394
23542,Redwood NP,National Park,Pacific West ,CA,2016,12,23384,84783,107,0,34,536297,2070324,4979,0,4681
23554,Redwood NP,National Park,Pacific West ,CA,2017,12,27009,81672,97,0,75,445000,1731930,3363,0,4769
23566,Redwood NP,National Park,Pacific West ,CA,2018,12,23784,68054,29,0,42,482536,1882690,3711,0,4035
23578,Redwood NP,National Park,Pacific West ,CA,2019,12,19752,70359,50,0,34,504722,1762772,2721,0,3276
23962,Rocky Mountain NP,National Park,Intermountain ,CO,2010,12,66335,401004,42,72,73,2955821,20522155,89514,45354,33405
23974,Rocky Mountain NP,National Park,Intermountain ,CO,2011,12,61749,374283,66,63,108,3176941,22273036,101337,52944,31216
23986,Rocky Mountain NP,National Park,Intermountain ,CO,2012,12,66776,403855,42,54,104,3229617,21925337,84393,39765,29558
23998,Rocky Mountain NP,National Park,Intermountain ,CO,2013,12,81970,495949,69,57,130,2991141,20343289,79782,35472,29870
24010,Rocky Mountain NP,National Park,Intermountain ,CO,2014,12,80032,484083,0,195,48,3434751,23933403,112197,50808,34321
24022,Rocky Mountain NP,National Park,Intermountain ,CO,2015,12,93784,568882,96,54,236,4155916,28840877,124254,60927,46301
24034,Rocky Mountain NP,National Park,Intermountain ,CO,2016,12,91831,558504,210,84,176,4517585,30764140,120981,57321,45223
24046,Rocky Mountain NP,National Park,Intermountain ,CO,2017,12,112830,685156,252,144,115,4437215,30464697,124179,57627,45194
24058,Rocky Mountain NP,National Park,Intermountain ,CO,2018,12,106781,647551,168,99,36,4590493,31379912,117924,71016,46840
24070,Rocky Mountain NP,National Park,Intermountain ,CO,2019,12,113050,687482,252,240,82,4670053,31535363,112791,64809,41213
24454,Saguaro NP,National Park,Intermountain ,AZ,2010,12,51989,76255,0,0,74,717614,1078216,0,0,1568
24466,Saguaro NP,National Park,Intermountain ,AZ,2011,12,52058,73544,0,0,51,610045,924895,0,0,2033
24478,Saguaro NP,National Park,Intermountain ,AZ,2012,12,55941,81532,0,0,94,634286,943789,0,0,1545
24490,Saguaro NP,National Park,Intermountain ,AZ,2013,12,55998,82103,0,0,87,678261,1000102,0,0,1610
24502,Saguaro NP,National Park,Intermountain ,AZ,2014,12,60726,86150,0,0,83,673572,993001,0,0,1377
24514,Saguaro NP,National Park,Intermountain ,AZ,2015,12,64884,95805,0,0,82,753446,1150440,0,0,1846
24526,Saguaro NP,National Park,Intermountain ,AZ,2016,12,91956,109083,0,0,142,820426,1199169,0,0,1868
24538,Saguaro NP,National Park,Intermountain ,AZ,2017,12,89984,91331,0,0,111,964760,1023894,0,0,2339
24550,Saguaro NP,National Park,Intermountain ,AZ,2018,12,62792,63958,0,0,95,957405,1015552,0,0,2058
24562,Saguaro NP,National Park,Intermountain ,AZ,2019,12,96235,103250,0,0,134,1020226,1076297,0,0,2185
24946,Sequoia NP,National Park,Pacific West ,CA,2010,12,28359,136121,219,181,110,1002979,32927347,124138,33696,21594
24958,Sequoia NP,National Park,Pacific West ,CA,2011,12,29990,143952,941,0,104,1006583,32910799,110772,28914,22210
24970,Sequoia NP,National Park,Pacific West ,CA,2012,12,27095,130057,398,51,37,1106584,36281353,117821,28297,21969
24982,Sequoia NP,National Park,Pacific West ,CA,2013,12,28036,134574,423,159,122,909274,29555738,114306,29947,26631
24994,Sequoia NP,National Park,Pacific West ,CA,2014,12,42462,203816,700,267,177,1039137,33453824,129562,34902,29013
25006,Sequoia NP,National Park,Pacific West ,CA,2015,12,42880,205822,343,108,214,1097464,35031293,133833,39448,32436
25018,Sequoia NP,National Park,Pacific West ,CA,2016,12,45768,219689,830,305,318,1254688,40177330,149714,69732,36247
25030,Sequoia NP,National Park,Pacific West ,CA,2017,12,53502,256810,1119,429,336,1291256,41884679,139901,56944,36660
25042,Sequoia NP,National Park,Pacific West ,CA,2018,12,58938,282902,347,0,0,1229594,38429051,142945,78543,37881
25054,Sequoia NP,National Park,Pacific West ,CA,2019,12,45097,216464,585,461,31,1246053,40056963,133088,68679,29871
25438,Shenandoah NP,National Park,Northeast ,VA,2010,12,12379,44149,0,0,258,1253386,10129983,106536,49245,38147
25450,Shenandoah NP,National Park,Northeast ,VA,2011,12,22508,68714,0,0,147,1209883,9577868,97947,43764,36571
25462,Shenandoah NP,National Park,Northeast ,VA,2012,12,18034,61140,0,0,222,1210200,9715409,100821,42849,42133
25474,Shenandoah NP,National Park,Northeast ,VA,2013,12,18089,84092,0,0,345,1136505,8692122,90705,34773,41419
25486,Shenandoah NP,National Park,Northeast ,VA,2014,12,21682,70674,0,0,236,1255321,9538211,106161,45288,40644
25498,Shenandoah NP,National Park,Northeast ,VA,2015,12,35149,104778,0,0,237,1321873,10573047,114873,48231,43348
25510,Shenandoah NP,National Park,Northeast ,VA,2016,12,29597,83240,0,0,116,1437341,11194551,129594,51255,48825
25522,Shenandoah NP,National Park,Northeast ,VA,2017,12,25836,81956,0,0,382,1458874,11288181,115578,51846,59763
25534,Shenandoah NP,National Park,Northeast ,VA,2018,12,22826,67529,0,0,120,1264880,10306163,110256,52431,39980
25546,Shenandoah NP,National Park,Northeast ,VA,2019,12,30183,85577,0,0,159,1425507,10618576,119649,59820,32391
25930,Theodore Roosevelt NP,National Park,Midwest ,ND,2010,12,3891,17682,5,3,0,623748,1937130,11709,14425,732
25942,Theodore Roosevelt NP,National Park,Midwest ,ND,2011,12,4388,19918,8,0,0,563407,1789230,10989,9182,768
25954,Theodore Roosevelt NP,National Park,Midwest ,ND,2012,12,8289,38040,11,22,2,640555,2196828,12663,12569,891
25966,Theodore Roosevelt NP,National Park,Midwest ,ND,2013,12,8416,37936,0,0,3,545090,2105675,13733,13503,841
25978,Theodore Roosevelt NP,National Park,Midwest ,ND,2014,12,3092,14049,3,3,1,559580,2051446,13804,12973,849
25990,Theodore Roosevelt NP,National Park,Midwest ,ND,2015,12,5600,25474,5,5,2,580033,2165040,13967,15011,529
26002,Theodore Roosevelt NP,National Park,Midwest ,ND,2016,12,2141,10052,0,5,14,753880,2623905,14835,17730,232
26014,Theodore Roosevelt NP,National Park,Midwest ,ND,2017,12,1712,7877,8,0,0,708003,2506618,14723,17750,587
26026,Theodore Roosevelt NP,National Park,Midwest ,ND,2018,12,4174,18900,3,3,0,749389,2699165,14707,18235,614
26038,Theodore Roosevelt NP,National Park,Midwest ,ND,2019,12,2519,11785,8,11,2,691658,2657924,16862,20524,735
26422,Virgin Islands NP,National Park,Southeast ,VI,2010,12,41418,254718,0,0,0,493477,3034880,0,0,0
26434,Virgin Islands NP,National Park,Southeast ,VI,2011,12,47922,294722,0,0,0,442414,2720851,0,0,0
26446,Virgin Islands NP,National Park,Southeast ,VI,2012,12,47772,293797,0,0,0,483341,2972554,0,0,0
26458,Virgin Islands NP,National Park,Southeast ,VI,2013,12,47629,292921,0,0,0,438601,2697409,0,0,0
26470,Virgin Islands NP,National Park,Southeast ,VI,2014,12,32996,202923,0,0,0,426930,2625615,0,0,0
26482,Virgin Islands NP,National Park,Southeast ,VI,2015,12,45727,281220,0,0,0,438372,2695983,0,0,0
26494,Virgin Islands NP,National Park,Southeast ,VI,2016,12,46683,287100,0,0,0,411343,2529750,0,0,0
26506,Virgin Islands NP,National Park,Southeast ,VI,2017,12,285,1753,0,0,0,304408,1872116,0,0,0
26518,Virgin Islands NP,National Park,Southeast ,VI,2018,12,2204,13555,0,0,0,112287,690568,0,0,0
26530,Virgin Islands NP,National Park,Southeast ,VI,2019,12,23118,142176,0,0,0,133398,820391,0,0,0
26914,Voyageurs NP,National Park,Midwest ,MN,2010,12,661,1537,0,0,0,253891,3934485,0,0,35560
26926,Voyageurs NP,National Park,Midwest ,MN,2011,12,590,1450,0,0,0,177184,2723742,0,0,21915
26938,Voyageurs NP,National Park,Midwest ,MN,2012,12,471,1405,0,0,0,214841,3262169,0,0,28837
26950,Voyageurs NP,National Park,Midwest ,MN,2013,12,162,162,0,0,0,233390,1396013,0,0,21807
26962,Voyageurs NP,National Park,Midwest ,MN,2014,12,928,3446,0,0,0,239160,1330620,0,0,31941
26974,Voyageurs NP,National Park,Midwest ,MN,2015,12,150,150,0,0,0,238313,1258084,0,0,50462
26986,Voyageurs NP,National Park,Midwest ,MN,2016,12,196,196,0,0,0,241912,1303956,0,0,46451
26998,Voyageurs NP,National Park,Midwest ,MN,2017,12,110,110,0,0,0,237250,1243694,0,0,53539
27010,Voyageurs NP,National Park,Midwest ,MN,2018,12,152,152,0,0,0,239656,1192456,0,0,59499
27022,Voyageurs NP,National Park,Midwest ,MN,2019,12,249,437,0,0,0,232974,1180880,0,0,45262
27406,White Sands NP,National Park,Intermountain ,NM,2010,12,29754,49982,0,0,80,470921,795960,0,0,1811
27418,White Sands NP,National Park,Intermountain ,NM,2011,12,23175,38774,0,0,51,428924,735185,0,0,2185
27430,White Sands NP,National Park,Intermountain ,NM,2012,12,28684,47700,0,0,59,447385,760066,0,0,2272
27442,White Sands NP,National Park,Intermountain ,NM,2013,12,36768,69244,0,0,79,490544,1236024,0,0,2284
27454,White Sands NP,National Park,Intermountain ,NM,2014,12,27254,73657,0,0,83,503660,1036285,0,0,2087
27466,White Sands NP,National Park,Intermountain ,NM,2015,12,24898,67353,0,0,124,497506,1257203,0,0,3516
27478,White Sands NP,National Park,Intermountain ,NM,2016,12,36772,99728,0,0,203,555793,1409101,0,0,4331
27490,White Sands NP,National Park,Intermountain ,NM,2017,12,45182,123669,0,0,345,612468,1549914,0,0,5259
27502,White Sands NP,National Park,Intermountain ,NM,2018,12,17051,59112,0,0,103,603008,1514201,0,0,4125
27514,White Sands NP,National Park,Intermountain ,NM,2019,12,49057,132396,0,0,249,608785,1521903,0,0,4243
27898,Wind Cave NP,National Park,Midwest ,SD,2010,12,11865,19493,1,1,0,577141,1628000,1623,1344,296
27910,Wind Cave NP,National Park,Midwest ,SD,2011,12,16869,27731,0,0,0,538394,1508724,1645,1160,249
27922,Wind Cave NP,National Park,Midwest ,SD,2012,12,17811,29139,2,2,0,529083,1552259,3601,2758,226
27934,Wind Cave NP,National Park,Midwest ,SD,2013,12,12758,21219,3,0,2,516142,1621332,5866,4612,219
27946,Wind Cave NP,National Park,Midwest ,SD,2014,12,14453,23874,0,0,0,547022,1672929,3814,4714,220
27958,Wind Cave NP,National Park,Midwest ,SD,2015,12,11604,19475,1,3,0,612198,1798805,2420,3804,179
27970,Wind Cave NP,National Park,Midwest ,SD,2016,12,11774,19688,0,0,0,617377,1886762,4093,4401,493
27982,Wind Cave NP,National Park,Midwest ,SD,2017,12,11774,19804,0,6,0,619924,1937618,6197,4670,452
27994,Wind Cave NP,National Park,Midwest ,SD,2018,12,11247,18316,2,0,0,656397,1986661,4333,4164,437
28006,Wind Cave NP,National Park,Midwest ,SD,2019,12,11158,17893,0,0,2,615350,1735378,3632,3715,369
28354,Wrangell-St. Elias NP & PRES,National Park,Alaska,AK,2010,12,35,1610,0,0,0,73170,3365820,0,0,0
28366,Wrangell-St. Elias NP & PRES,National Park,Alaska,AK,2011,12,35,1610,0,0,0,65225,3000338,0,0,0
28378,Wrangell-St. Elias NP & PRES,National Park,Alaska,AK,2012,12,35,1610,0,0,0,87158,4009248,0,0,0
28390,Wrangell-St. Elias NP & PRES,National Park,Alaska,AK,2013,12,35,1610,0,0,0,69984,3219297,0,0,0
28402,Wrangell-St. Elias NP & PRES,National Park,Alaska,AK,2014,12,35,1610,0,0,0,74722,3437186,0,0,0
28414,Wrangell-St. Elias NP & PRES,National Park,Alaska,AK,2015,12,35,1610,0,0,0,80366,3696810,0,0,0
28426,Wrangell-St. Elias NP & PRES,National Park,Alaska,AK,2016,12,35,1610,0,0,0,79047,3636217,0,0,0
28438,Wrangell-St. Elias NP & PRES,National Park,Alaska,AK,2017,12,35,1610,0,0,0,68292,3141451,0,0,0
28450,Wrangell-St. Elias NP & PRES,National Park,Alaska,AK,2018,12,35,1610,0,0,0,79450,3654688,0,0,0
28462,Wrangell-St. Elias NP & PRES,National Park,Alaska,AK,2019,12,35,1610,0,0,0,74518,3427825,0,0,0
28846,Yellowstone NP,National Park,Intermountain ,WY,2010,12,17388,260317,93,77,71,3640185,75033809,87580,69825,45045
28858,Yellowstone NP,National Park,Intermountain ,WY,2011,12,16514,303742,54,58,76,3394326,71475307,79585,60168,37292
28870,Yellowstone NP,National Park,Intermountain ,WY,2012,12,18472,299743,122,109,83,3447729,73778317,89249,64463,40460
28882,Yellowstone NP,National Park,Intermountain ,WY,2013,12,17378,272054,54,64,52,3188030,70261725,88762,63897,40623
28894,Yellowstone NP,National Park,Intermountain ,WY,2014,12,18340,356848,93,157,79,3513484,73680075,86281,77383,41243
28906,Yellowstone NP,National Park,Intermountain ,WY,2015,12,20470,373622,70,83,46,4097710,82016845,104149,69830,44898
28918,Yellowstone NP,National Park,Intermountain ,WY,2016,12,19685,315352,42,118,143,4257177,84411927,101639,68991,44663
28930,Yellowstone NP,National Park,Intermountain ,WY,2017,12,21294,367852,125,131,50,4116524,84149763,96293,69723,43378
28942,Yellowstone NP,National Park,Intermountain ,WY,2018,12,22380,276390,134,176,16,4115000,84567084,88562,74771,41978
28954,Yellowstone NP,National Park,Intermountain ,WY,2019,12,25506,400924,144,195,53,4020288,80349419,81022,80294,38236
29338,Yosemite NP,National Park,Pacific West ,CA,2010,12,98893,857431,928,1456,0,3901408,67692499,526026,265920,125136
29350,Yosemite NP,National Park,Pacific West ,CA,2011,12,127621,1813179,1099,2872,283,3951393,65414044,505390,226304,103420
29362,Yosemite NP,National Park,Pacific West ,CA,2012,12,125314,1532845,1917,1344,304,3853404,67760801,537451,260136,168783
29374,Yosemite NP,National Park,Pacific West ,CA,2013,12,131479,1906389,2374,2072,373,3691191,64042982,459565,241656,172353
29386,Yosemite NP,National Park,Pacific West ,CA,2014,12,134491,2109021,3772,3692,547,3882642,67576000,480094,166744,190339
29398,Yosemite NP,National Park,Pacific West ,CA,2015,12,140241,2466661,2875,2204,0,4150217,78505877,588701,284372,211966
29410,Yosemite NP,National Park,Pacific West ,CA,2016,12,160646,1975116,3341,2096,0,5028868,77763403,490431,376744,216989
29422,Yosemite NP,National Park,Pacific West ,CA,2017,12,127276,2038620,6783,6284,467,4336890,71264549,456476,293844,167507
29434,Yosemite NP,National Park,Pacific West ,CA,2018,12,311179,2719210,4369,5036,833,4009436,59529503,354819,259748,124577
29446,Yosemite NP,National Park,Pacific West ,CA,2019,12,149188,1967075,4018,3932,88,4422861,65508566,469585,211948,155578
29830,Zion NP,National Park,Intermountain ,UT,2010,12,69701,420659,334,435,67,2665972,18586475,98189,72805,36544
29842,Zion NP,National Park,Intermountain ,UT,2011,12,76687,475290,626,541,180,2825505,19520895,102922,72333,40344
29854,Zion NP,National Park,Intermountain ,UT,2012,12,70981,464761,787,938,208,2973607,21048026,111096,78864,48932
29866,Zion NP,National Park,Intermountain ,UT,2013,12,75903,470259,667,621,137,2807387,20643685,112429,76253,54336
29878,Zion NP,National Park,Intermountain ,UT,2014,12,101986,716264,1562,1226,161,3189696,22366160,126194,77932,23257
29890,Zion NP,National Park,Intermountain ,UT,2015,12,97503,646629,1500,1343,149,3648846,25028289,133528,73783,24655
29902,Zion NP,National Park,Intermountain ,UT,2016,12,124438,815321,1633,1099,760,4295127,28963497,137442,70728,28248
29914,Zion NP,National Park,Intermountain ,UT,2017,12,138866,914219,2560,1585,359,4504812,30274711,138245,72425,25470
29926,Zion NP,National Park,Intermountain ,UT,2018,12,147794,955517,1780,1329,146,4320033,29913878,132988,72016,22964
29938,Zion NP,National Park,Intermountain ,UT,2019,12,171706,1058308,1895,1493,166,4488268,28715546,118290,78704,18320
